TIMESTAMP,TA_F,P_F,NEE_VUT_REF,GPP_NT_VUT_REF,LE_F_MDS,SITE_ID,SITE_NAME,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP
2009,20.481,355.433,-2160.46,2584.58,52.3202,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
2010,19.044,351.7,-1269.67,2550.07,27.6829,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
2011,19.557,375.91,-1761.29,2599.08,55.8935,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
2009,21.734,1375.166,NA,NA,144.185,AR-Vir,Virasoro,-28.2395,-56.1886,NA,ENF,NA,NA
2010,21.223,1664.062,-358.667,4777.04,91.0142,AR-Vir,Virasoro,-28.2395,-56.1886,NA,ENF,NA,NA
2011,21.458,1503.914,423,4314.71,88.7778,AR-Vir,Virasoro,-28.2395,-56.1886,NA,ENF,NA,NA
2012,22.034,1130.195,2129.23,4428.96,78.8732,AR-Vir,Virasoro,-28.2395,-56.1886,NA,ENF,NA,NA
2002,7.803,984.159,326.481,2038.43,40.7544,AT-Neu,Neustift,47.1167,11.3175,970,GRA,6.3,852
2003,7.178,763.076,203.934,1935.66,35.6198,AT-Neu,Neustift,47.1167,11.3175,970,GRA,6.3,852
2004,6.33,785.904,245.127,2016.32,35.7099,AT-Neu,Neustift,47.1167,11.3175,970,GRA,6.3,852
2005,5.642,744.664,231.151,1847.94,33.9321,AT-Neu,Neustift,47.1167,11.3175,970,GRA,6.3,852
2006,6.785,581.5,190.164,2082.96,40.8467,AT-Neu,Neustift,47.1167,11.3175,970,GRA,6.3,852
2007,7.269,617.7,233.289,2408.98,37.6697,AT-Neu,Neustift,47.1167,11.3175,970,GRA,6.3,852
2008,7.087,647.9,494.055,2620.77,35.9409,AT-Neu,Neustift,47.1167,11.3175,970,GRA,6.3,852
2009,6.774,641.946,650.641,2713.84,35.0664,AT-Neu,Neustift,47.1167,11.3175,970,GRA,6.3,852
2010,6.052,527.38,446.945,2222.15,32.2863,AT-Neu,Neustift,47.1167,11.3175,970,GRA,6.3,852
2011,7.053,561.271,642.901,2651.9,35.2583,AT-Neu,Neustift,47.1167,11.3175,970,GRA,6.3,852
2012,6.681,498.6,482.894,2167.86,29.5172,AT-Neu,Neustift,47.1167,11.3175,970,GRA,6.3,852
2007,26.68,1479.546,10.6736,897.226,46.2325,AU-Ade,Adelaide River,-13.0769,131.1178,NA,WSA,NA,NA
2008,26.913,1516.254,-271.71,1379.32,77.2881,AU-Ade,Adelaide River,-13.0769,131.1178,NA,WSA,NA,NA
2009,27.273,1082.614,-422.778,1372.38,58.7047,AU-Ade,Adelaide River,-13.0769,131.1178,NA,WSA,NA,NA
2010,20.788,741.238,-180.278,653.552,57.0663,AU-ASM,Alice Springs,-22.283,133.249,NA,ENF,NA,NA
2011,21.653,411.6,-76.7484,507.202,28.339,AU-ASM,Alice Springs,-22.283,133.249,NA,ENF,NA,NA
2012,22.182,277.2,43.7495,186.025,16.5628,AU-ASM,Alice Springs,-22.283,133.249,NA,ENF,NA,NA
2010,17.6,419.56,-162.751,487.711,34.0286,AU-Cpr,Calperum,-34.0021,140.5891,NA,SAV,NA,NA
2011,17.396,510.8,-225.015,768.455,32.2178,AU-Cpr,Calperum,-34.0021,140.5891,NA,SAV,NA,NA
2012,17.323,211.2,-210.228,610.842,23.9751,AU-Cpr,Calperum,-34.0021,140.5891,NA,SAV,NA,NA
2013,18.175,242.489,-87.1476,432.252,18.7817,AU-Cpr,Calperum,-34.0021,140.5891,NA,SAV,NA,NA
2014,18.751,299.159,135.093,14.7336,16.1807,AU-Cpr,Calperum,-34.0021,140.5891,NA,SAV,NA,NA
2012,17.45,652.882,-253.914,1179.91,46.9178,AU-Cum,Cumberland Plains,-33.6133,150.7225,NA,EBF,NA,NA
2013,18.416,866,-410.409,1241.5,54.3781,AU-Cum,Cumberland Plains,-33.6133,150.7225,NA,EBF,NA,NA
2014,18.389,325.7,84.7364,1217,53.8458,AU-Cum,Cumberland Plains,-33.6133,150.7225,NA,EBF,NA,NA
2007,25.464,1195.824,162.471,610.522,30.3937,AU-DaP,Daly River Savanna,-14.0633,131.3181,NA,GRA,NA,NA
2008,25.165,1723.892,-299.29,1335.34,54.092,AU-DaP,Daly River Savanna,-14.0633,131.3181,NA,GRA,NA,NA
2009,25.941,945.09,-90.8406,1112.42,56.7456,AU-DaP,Daly River Savanna,-14.0633,131.3181,NA,GRA,NA,NA
2010,25.926,1420.18,-74.2171,1324.48,68.3838,AU-DaP,Daly River Savanna,-14.0633,131.3181,NA,GRA,NA,NA
2011,24.358,1700.654,-373.718,1646.76,57.398,AU-DaP,Daly River Savanna,-14.0633,131.3181,NA,GRA,NA,NA
2012,25.012,1372.656,-252.408,1214.77,54.205,AU-DaP,Daly River Savanna,-14.0633,131.3181,NA,GRA,NA,NA
2013,26.342,1254.659,-253.153,1006.35,45.9555,AU-DaP,Daly River Savanna,-14.0633,131.3181,NA,GRA,NA,NA
