TIMESTAMP,TA_F,P_F,NEE_VUT_REF,GPP_NT_VUT_REF,LE_F_MDS,SITE_ID,SITE_NAME,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP
200901,26.495,1.698,-5.99881,9.5493,51.4806,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
200902,26.836,1.325,-5.99546,9.58507,51.1634,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
200903,26.027,2.65,-5.99861,9.47598,51.4692,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
200904,23.475,0.194,-5.9977,9.15312,51.378,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
200905,16.761,0.22,-5.99881,8.37331,51.4806,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
200906,11.928,0.009,-5.9977,7.83185,51.378,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
200907,9.676,0.122,-5.99567,7.62399,51.1841,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
200908,16.998,0.043,-5.99861,8.4108,51.4692,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
200909,14.368,0.74,-5.9977,8.10718,51.378,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
200910,23.137,0.282,-5.77541,8.8467,52.2845,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
200911,25.501,1.467,-5.85837,9.24255,52.4155,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
200912,24.969,2.921,-6.06235,9.09603,60.5606,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
201001,28.493,0.903,-5.63278,10.2095,61.5256,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
201002,26.673,1.986,-4.47433,8.16307,42.0264,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
201003,25.744,0.371,-3.89288,7.06222,28.7708,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
201004,18.45,0.1,-3.11159,5.72781,11.9466,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
201005,13.493,1.852,-1.71633,3.47763,11.5227,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
201006,11.273,0.03,-0.156183,2.77385,11.9005,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
201007,8.131,0.003,-1.64934,3.74133,5.3684,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
201008,12.124,0.148,-2.23663,4.9923,8.57524,AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400
