# From Bill Riley December 5, 2017
site_#	site_code	lat	lon
1	AT-Neu	47.1167	11.3175
2	AU-Tum	-35.6566	148.1517
3	BE-Bra	51.3092	4.5206
4	BE-Lon	50.5516	4.7461
5	BE-Vie	50.3051	5.9981
6	BR-Sa1	-2.8567	-54.9589
7	CA-Gro	48.2167	-82.1556
8	CZ-BK1	49.5021	18.5369
9	DE-Gri	50.9495	13.5125
10	DE-Hai	51.0792	10.453
11	DE-Kli	50.8929	13.5225
12	DE-Tha	50.9636	13.5669
13	DK-Sor	55.4859	11.6446
14	DK-ZaH	74.4732	-20.5503
15	FI-Hyy	61.8475	24.295
16	FR-Gri	48.8442	1.9519
17	FR-Pue	43.7414	3.5958
18	GF-Guy	5.2788	-52.9249
19	IT-Lav	45.9562	11.2813
20	IT-Ren	46.5869	11.4337
21	IT-Ro2	42.3903	11.9209
22	NL-Loo	52.1666	5.7436
23	RU-Cok	70.8291	147.4943
24	RU-Fyo	56.4615	32.9221
25	RU-Sam	72.3733	126.4978
26	US-ARM	36.6058	-97.4888
27	US-Blo	38.8953	-120.6328
28	US-Ha1	42.5378	-72.1715
29	US-Los	46.0827	-89.9792
30	US-Ne1	41.1651	-96.4766
31	US-Ne2	41.1649	-96.4701
32	US-Ne3	41.1797	-96.4397
33	US-Oho	41.5545	-83.8438
34	US-PFa	45.9459	-90.2723
35	US-SRM	31.8214	-110.8661
36	US-Syv	46.242	-89.3477
37	US-Ton	38.4316	-120.966
38	US-UMB	45.5598	-84.7138
39	US-Var	38.4133	-120.9507
40	US-WCr	45.8059	-90.0799
41	US-Wkg	31.7365	-109.9419
42	ZA-Kru	-25.0197	31.4969
